Wordnet name , Name index , is object counts , is part counts , ADE names , Attributes , Has parts , Is part of 
shelf,2329,2606,1038,"shelf, shelves","glass, metal, painted wood, shoe rack, wicker, wood, wooden","apron, back, base, divider, door, drawer, front, hinge, leg, shelf, side, skirt, top, wheel","bed, bookcase, buffet, counter, sideboard, cabinet, closet, coffee table, cocktail table, console table, console, desk, kitchen island, pantry, shelf, shelves, table, trolley table, wardrobe, closet, press"
seat,2272,1823,1612,"seat, seats","acrylic, back, church, fabric, front, leather, metal, mounted, painted wood, pillow, plastic, upholstered, vinyl, vynil, wicker, wicket, wood","arm, armrest, back, back pillow, cushion, door, drawer, headrest, legs, seat cushion, seat water","armchair, bench, car, auto, automobile, machine, motorcar, chair, deck chair, beach chair, hairdresser chair, hairdressers chair, minibike, motorbike, ottoman, pouf, pouffe, puff, hassock, rocking chair, rocker, sofa bed, sofa, couch, lounge, stool, swivel chair, throne, toilet, can, commode, crapper, pot, potty, stool, throne"
table lamp,3105,3350,0,table lamp,"accent, bolumetric, diffuse, diffused, diffused volumetric, direct, direct volumetric, dirert, geneal, genera, general, general., generala, generl, genral, indirect, l general, odd, of, off, off direct, om, on, on direct, oon, punctual, task, voff, volumetric, volumetric general","aperture, arm, base, bulb, column, highlight, light source, shade, shade translucent, socket, tube",
"rock, stone",2138,3268,0,"rock, rocks, stone, stones","circular, ground, rockface, small",,
light troffer,3101,3120,0,light troffer,"accent, diffuse, diffused, diffused surface, diffused. surface, diffuser, direct, general, genral, o, off, om, on, on diffused, oon, punctual, surface, surface general, surfase, task, volumetric","backplate, canopy, diffuser, diffusor, highlight, light source, shade",
mirror,1564,1729,1171,mirror,standing,"base, frame, mirror support","bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle, cabinet, car, auto, automobile, machine, motorcar, carousel, chest of drawers, chest, bureau, dresser, door, dressing table, minibike, motorbike, steam shovel, truck, motortruck, van, vanity, wardrobe, closet, press"
"pot, flowerpot",1981,2843,0,"flowerpot, plant pot","ceramic, large, scuared, stone",,
"earth, ground",838,2835,0,ground,"background, bare, bare ground, base, cobble, desert, dirt, earth, flowerbed, forest, grass, ground, mulch, patterned, plain, rocky, sand, savanna, semidesert, snow, snow covered, snowy, stone, stones",,
armchair,57,2776,0,armchair,"cropo, fabric, leather, recliner, smooth, upholstered, wicker, wood","apron, arm, back, back pillow, earmuffs, footrest, fringe, h-stretcher, headrest, leg, rocker, seat, seat base, seat cushion, skirt, stile, stretcher, wheel",
bed,165,2630,97,bed,"buck, bunk, bunk crop, cloth, croop, doble, doble size, doble-size, doubl size, double, double  size, double side, double size, double-size, headboard, metal, painted wood, sigle, single, single-size, wood","base, bed column, bed side, bedpost, bedspring, box spring, canopy, drawer, foot rail, footboard, head rail, headboard, ladder, leg, rail, safety rail, safety side, shelf, side, side rail, skirt, spindle, wheel","car, auto, automobile, machine, motorcar, door, headboard, machine, pool table, billiard table, snooker table"
flower,978,2673,35,"flower, flowers","artificial, basket, decorative, dread, dried, potted, red","plant, flora, plant life, tree",
vase,2932,2483,1,vase,"caramic, ceramic, glass, metal, porcelain","base, bowl, cap, neck, opening",table
"fence, fencing",907,2360,0,fence,"concrete, metal, ornamental, wire, wood, wooden","pole, post, rail",
pillow,1869,2347,0,"back pillow, pillow","beige, black, blue, brown, ecru, garnet, gray, green, pillow, pink, red, smooth, stamped, stamping, striped, stripes, white, yellow",,
pendant lamp,1820,2213,2,"pendant lamp, pendant lamps","ddiffused, diffused, diffused volumetric, direct, general, genral, indirect, off, off direct, oh, on, on diffused, punctual, punctual task, task, volumetric, volumetric general","aperture, arm, backplate, bulb, canopy, chain, column, cord, highlight, light source, shade, tube",fan
pole,1936,2172,22,pole,"concrete, curved, decoration, mast, wood","carousel, fence, fencing, streetlight, street lamp, traffic light, traffic signal, stoplight",
"sofa, couch, lounge",2473,2140,0,sofa,"fabric, leather, stamping, upholstered, wicker","apron, arm, back, back cushion, back pillow, cushion, earmuffs, fringe, h-stretcher, inside arm, leg, mattress, outside arm, rail, seat, seat base, seat cushion, side, skirt, stretcher",
plate,1919,2104,34,"dish, plate, plates","ceramic, copper, decoration, ornamental, porcelain, switch","switch, electric switch, electrical switch, teacup, wall socket, wall plug, electric outlet, electrical outlet, outlet, electric receptacle",
"column, pillar",581,2137,0,"column, columns, pillar","cylidrical, cylindical, cylindrial, cylindrical, decoration, garden, luminous, metal, ornamental, sign, square, stone, wood","base, capital, shaft",
ceiling spotlight,3102,2111,0,"ceiling spotlight, ceiling spotlights","accent, diffused, direct, general, genral, indirect, off, on, punctual, punctual accent, punctual general, task, volumetric, volumetricm general","aperture, arm, backplate, bulb, highlight, light source, shade, tube",
"glass, drinking glass",1098,2074,0,glass,"decoration, full, ice, pane, plastic, stained, wain, wine, wine full","base, bowl, head, opening, stem",
sconce,2243,2044,1,sconce,"0ff, accenet, accent, accet, acent, diffuse, diffused, direct, direct volumetric, exterior, geeral, genera, general, genral, indirect, linear, off, on, on diffused, on indirect, punctual, surface, task, volumetric, volumetric general","arm, backplaete, backplate, bulb, column, diffusor, highlight, light source, shade, tube",cabinet
"wall socket, wall plug, electric outlet, electrical outlet, outlet, electric receptacle",2982,1979,0,outlet,plug,"plate, plug, screw, socket, sockets, switch",
"rug, carpet, carpeting",2178,1831,0,"carpet, rug","red, rolled up",fringe,
sink,2388,1600,0,sink,pedestal,"bowl, drain, faucet, faucet drain lever, overflot plate, pedestal, pipe, plug, stopper, tap, top",
bowl,259,1172,392,bowl,"ceramic, copper, decorative, glass, large, metal, plastic, porcelain, stainless steel, stone, wood","base, bowl, drain, handle, opening","bidet, bowl, glass, drinking glass, mug, pitcher, ewer, sink, teacup, toilet, can, commode, crapper, pot, potty, stool, throne, vase"
"railing, rail",2053,1550,0,"rail, railing, railings","fence in front of house, glass, metal, wood",,
work surface,3087,1414,18,work surface,"marble, wood","door, leg","cabinet, kitchen island"
bench,181,1391,4,"bench, benches","cropped, stone, wood","apron, arm, back, leg, rail, seat, stile, stretcher, top",shelter
desk,724,1355,0,"desk, desks","painted wood, wood","apron, back, base, chest of drawers, door, drawer, front, leg, lock, shelf, side, skirt, stretcher, top",
"basket, handbasket",146,1284,0,basket,wicker,,
pot,1974,1263,13,pot,"ceramic, clay, copper, large, porcelain, wood","cap, handle, lid","blender, coffee maker"
bag,95,1257,1,"bag, bags","cheese, full, paper, papers, plastic, roll, shopping, sport",landfill,
house,1276,1253,0,"house, houses","background, bungalow, wood","arch, balcony, balustrade, casing, chimney, column, door, door frame, doors, dormer, double door, fence, folding doors, gable, garage door, grille, gutter, leave, metal shutter, pipe, plant, porch, post, railing, rakes, roof, shutter, skylight, staircase, steps, trees, window, windows",
"palm, palm tree",1744,1219,0,"palm tree, palm trees","artificial, truck, trunk",trunk,
"stairs, steps",2530,1215,0,"stairs, steps","rocky, snowy, stone, stones, wooden","riser, step, stringer, tread, wall",
"coffee table, cocktail table",571,1175,0,coffee table,"accent, rectangular, square, wood","apron, base, drawer, front, leg, pane, pedestal, shelf, side, skirt, top",
towel,2821,1166,0,"towel, towels","dispenser, paper, red, white",,
"fluorescent, fluorescent fixture",982,1151,0,"fluorescent tube, fluorescent tubes","diffused, direct, general, linear, off, om, on, surface, task","backplate, cord, diffusor, fluorescent, fluorescent bulb, highlight, light source, shade",
"traffic light, traffic signal, stoplight",2836,1137,0,"traffic light, traffic lights","hanging, pole","green light, housing, pole, post, red light, visor, yellow light",
stool,2586,1133,0,stool,"swivel, wicker, wood","apron, back, base, footrest, leg, lever, pedestal, seat, seat base, seat cushion, skirt, stretcher",
jar,1349,1121,0,"jar, jars","ceramic, tips","label, plug",
"shrub, bush",2368,1114,0,"bush, bushes, shrub, shrubs","background, bare, building, dragon, foreground, topiary",,
sea,2264,1113,0,"sea, sea water",,"wave, waves",
swivel chair,2679,1091,0,swivel chair,"leather, vinyl","apron, arm, arm support, armrest, back, back control, back pillow, base, control, footrest, lever, piston, seat, seat cushion, wheel",
"plaything, toy",1930,1083,0,"toy, toys","adult, airplane, blocks, boat, bucket, cabinet, car, cars, ceramic, crane, cuddly toy, ddoll, doll, dolls, dove, drawers, helicopter, horse, house, ladder, lobster, matrioschka, mobile, playground equipment, plush toy, puppet, puzzle, remote control, remote-controlled car, sailboat, seesaw, shovel, soft, steam shovel, stretcher, stuffed, teddy, teddy bear, train, truck, white_ rabbit","door, wheel, window",
clock,530,1064,4,clock,"digital, grandfather, wall","base, box, face, frame, hand, pediment, pendulum, screen, side","button panel, tower"
skyscraper,2423,1043,0,skyscraper,"dark blue, tan","balcony, pane, window",
"awning, sunshade, sunblind",77,1035,0,awning,straw,,
"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin",64,1001,0,trash can,,,
water,2994,964,9,water,"canal, jet, loch, rafting, rapids, river, swimming pool","fountain, hot tub, pond, pool, swimming pool, swimming bath, natatorium, toilet, can, commode, crapper, pot, potty, stool, throne",
"candlestick, candle holder",378,964,0,candle holder,,candle,
flag,954,939,0,flag,"french, turkish, usa",,
double door,783,530,359,double door,"closed, colonial, folding, glass, metal, open, sliding","ceiling, door, door frame, double door, handle, lock, muntin, pane, shutter","balcony, building, edifice, cabinet, double door, house, shed, terrace"
paper,1756,878,2,paper,"menu, roll, roller, sheet music, wrapper",console,
field,913,878,0,field,"cultivated, flowers, grass, paddy, snowy, sown, sunflowers, wheat","hay bale, wheat spike",
"chandelier, pendant, pendent",480,871,0,chandelier,"diffused, direct, general, genral, of, off, om, on, on direct, punctual, volumetric, wolumetric","arm, bulb, canopy, chain, cord, highlight, light source, shade, tube",
"switch, electric switch, electrical switch",2676,862,0,"light switch, switch",toggle,"dial, outlet, plate, screw, switch",
boat,223,857,0,"boat, boats","catamaran, ruins, swan boat, toy, zodiac","antenna, deck, fender, fenders, floatation device, hull, mast, outboard motor, pilot cockpit, radar, rail, railing, rope, winch, window",
"blind, screen",212,851,0,blind,"adjustable, horizontal, pleated, roller, vertical","bottom rail, fabric, head rail, slates, slats, tassle, tilt wand",
fruit,1033,836,14,"fruit, fruits","apple, apples, apricot, apricots, avocados, banana, bananas, cherries, dates, granade, grapes, in bowl, kiwi, kiwis, lemon, lemon slice, lemons, lime, melon, melons, orange, oranges, paraguayan, peach, peaches, pear, pears, pineapple, pineapples, plum, plums, strawberry, watermelon",tree,
ball,103,841,0,"ball, balls","concrete, decoration, glass, metal",,
"figurine, statuette",918,840,0,figurine,"bird, boat, bunny, cat, ceramic, clay, crystal, dog, elephant, fish, giraffe, hat, horse, house, porcelain, rooaster, rooster, santa, stone, tiger, tower, wood",,
"food, solid food",1002,834,0,food,"artichoke, artichokes, asparagus, baguettes, beans, beef leg, bell papper, biscuits, bread, bread roll, bread rolls, brench breads, broccoli, buns, cake, cakes, carrots, cauliflower, celery, cheese, cheeses, cherries, chesse, chicken roast, chilies, clams, cookie, cookies, croissant, croissants, cucumbers, eggplant, eggs, fish, french bread, french breads, garlic, garlic braid, hake, ham, hard-boiled egg, lemon, lettuce, lettuces, loaf, loafs, lobster, margarine, meat, muffin, muffins, mushrooms, olives, onion, onions, oyster, paprika, pasta, pepper, peppers, pizza, potatoes, prawns, pumkin, pumpkin, quiche, red pepper, ribs, rice, roast chicken, salad, sandwich, sandwiches, sausage, snails, spaghetti, squid, tomato, tomatoes, tubers, vegetable, vegetables",,
shoe,2341,827,0,"heel shoe, shoe, shoes",,"heel, shoelace",
"television receiver, television, television set, tv, tv set, idiot box, boob tube, telly, goggle box",2733,825,0,television,"flat screen, flat scren, on","base, buttons, frame, keys, screen, speaker",
van,2928,823,0,van,ambulance,"bumper, door, fender, handle, headlight, license plate, mirror, sign, taillight, wheel, window, windshield, wiper",
tray,2850,813,2,"tray, trays",,wheelbarrow,
"bannister, banister, balustrade, balusters, handrail",120,801,0,"balustrade, handrail","metal, wood",handrail,
"stairway, staircase",2531,797,0,staircase,,"rung, step, stringer",
"base, pedestal, stand",137,790,0,stand,"cake, christmas tree, metal",door,
path,1788,773,0,path,"cobble, gravel, paved, snowy",,
"poster, posting, placard, notice, bill, card",1969,764,0,poster,map,,
"trade name, brand name, brand, marque",2833,712,0,brand name,,,
"truck, motortruck",2880,693,0,"truck, trucks","overturned, pickup, police truck, scrapping, yellow","bumper, door, headlight, license plate, logo, mirror, rim, taillight, wheel, window, windshield",
"chest of drawers, chest, bureau, dresser",491,680,0,"chest of drawers, dresser","painted wood, wicker, wood","apron, base, column, door, drawer, frame, front, handle, leg, mirror, side, skirt, top",
floor lamp,3109,679,0,floor lamp,"accent, diffused, direcet, direct, geneal, general, genral, indirect, linear, off, om, on, on direct, punctual, task, volumetric, volumetric general","aperture, arm, base, bulb, column, highlight, light source, shade, tube",
"minibike, motorbike",1563,678,0,"motorbike, motorbikes","crashed, section","exhaust pipe, handlebar, license plate, mirror, saddle, seat, taillight, wheel",
"stove, kitchen stove, range, kitchen range, cooking stove",2598,678,0,"range, stove",antique,"burner, button panel, dial, door, drawer, foot, front, griddle, handle, microwave, oven, screen, side, skirt, stove",
"bicycle, bike, wheel, cycle",187,656,0,"bicycle, bicycles",stationary,"basket, handlebar, pedal, saddle, wheel",
magazine,1485,646,0,"magazine, magazines",,,
"fireplace, hearth, open fireplace",943,637,0,fireplace,,,
"air conditioner, air conditioning",10,611,0,air conditioning,,"dial, grille",
"monitor, monitoring device",1583,611,0,monitor,rear,"monitor, screen",
oven,1708,332,274,oven,stove,"baseboard, button, button panel, dial, door, drawer, handle, leg, screen, top, window","stove, kitchen stove, range, kitchen range, cooking stove"
"telephone, phone, telephone set",2730,601,0,telephone,"cordless, wireless","base, buttons, cord, keyboard, keys, receiver, screen, wireless",
sculpture,2262,584,14,sculpture,"cross, dinosaur, horse, wood",base,"building, edifice, fountain"
"computer, computing machine, computing device, data processor, electronic computer, information processing system",591,590,0,"computer, computer case","dektop, desklamp, desktop, desktp, tower","base, computer case, joystick, keyboard, microphone, monitor, mouse, speaker, webcam",
"can, tin, tin can",371,583,0,"can, cans, tin",spray,,
beam,161,378,199,beam,"wood, wooden",ceiling,
fan,894,576,0,"ceiling fan, fan",floor,"blade, canopy, light source, motor, pendant lamp, shade, tube",
"refrigerator, icebox",2096,565,0,refrigerator,"side-bay-side, wine","button panel, door, drawer, front, handle, side, top, vent, water dispenser",
"animal, animate being, beast, brute, creature, fauna",29,563,0,"animal, animals","bear, bird, bison, bufalo, buffalo, bull, bunny, byson, camel, caterpillar, chick, cockerel, cow, cows, deer, deer head, dog, duck, elephant, fish, flamingo, flamingos, giraffe, goat, goose, gorilla, head, hen, hippopotamus, horse, lion, monkey, pig, polar bear, pony, rooster, sheep, skeleton, stuffed, tortoise, whale, zebra, zebras","ear, eye, head, hoof, horn, leg, tail",
"napkin, table napkin, serviette",1644,554,0,"napkin, napkins",paper,,
umbrella,2901,551,0,umbrella,,,
bookcase,239,550,0,bookcase,,"back, base, door, drawer, front, handle, shelf, side, skirt, top",
wall spotlight,3108,543,0,"wall spotlight, wall spotlights","accent, diffused, direct, general, indirect, linear, off, on, on indirect, punctual, task, volumetric, volumetric accent","aperture, arm, backplate, bulb, highlight, light source, shade",
"bucket, pail",303,533,0,bucket,"copper, metal, plastic, trash can",,
sand,2212,522,1,"sand, sand beach","dune, dunes",sandbox,
"ottoman, pouf, pouffe, puff, hassock",1702,511,0,ottoman,"brown, fabric, green, leather","apron, back, base, leg, seat, seat base, seat cushion, side, skirt, wheel",
counter,627,492,0,counter,"food, marble","front, leg, side, skirt, top",
river,2128,486,0,"river, river water",water,,
"bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle",327,480,0,bus,"back, double decker, school bus, trolleybus, two floor","bumper, door, headlight, license plate, light, logo, mirror, taillight, wheel, window, windshield, wiper, wipers",
"apparel, wearing apparel, dress, clothes",38,478,0,"clothes, dress, dresses","black, habit, on line",,
"toilet, can, commode, crapper, pot, potty, stool, throne",2793,475,0,toilet,public,"bowl, cistern, flusher, lid, pedestal, pipe, seat, water",
"waterfall, falls",3016,468,0,waterfall,waterfall,,
"screen, CRT screen",3117,456,0,screen,"folding, furniture, roller, wrapped",,
"bathtub, bathing tub, bath, tub",155,451,0,bathtub,,"drain, faucet, handle, overflot plate, shower, tap",
"microwave, microwave oven",1551,451,0,microwave,,"button, button panel, buttons, dial, display, door, foot, front, screen, side, top, vent, window",
"gravestone, headstone, tombstone",1131,446,0,"gravestone, headstone, tombstone",,,
mug,1619,446,0,"mug, mugs",,"base, bowl, handle, opening",
"text, textual matter",2748,442,0,text,"caption, date-stamp, sing, timestamp",,
"wardrobe, closet, press",2985,440,0,wardrobe,"painted wood, woo, wood","back, base, chest of drawers, column, door, drawer, folding door, front, knob, leg, mirror, shelf, side, skirt, top",
flush mount light,3104,422,0,flush mount light,"diffused, direct, general, off, on, punctual, volumetric","aperture, backplate, bulb, canopy, diffusor, highlight, light source, shade",
"step, stair",2569,419,0,step,,"riser, tread",
"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",1474,412,0,speaker,,,
hill,1240,407,0,"hill, hills","background, forest, rocky, snowy, urban, urbanized, valleyside",trees,
manhole,1494,406,0,manhole,,,
"pane, pane of glass, window glass",1747,397,0,pane,glass,,
"patty, cake",1791,396,0,"cake, cakes","fruit, partial",,
countertop,629,392,1,countertop,,cabinet,
gate,1081,338,49,gate,,"barn, building arena, building, edifice",
"faucet, spigot",897,370,0,faucet,,,
"bag, handbag, pocketbook, purse",96,368,0,purse,,,
"hat, chapeau, lid",1197,367,0,hat,,,
"board, plank",220,363,0,"board, plank",cork,"antlers, dartboard, deer skull",
desk lamp,3110,359,0,desk lamp,"diffused, direct, general, indirect, linear, of, off, on, punctual, task, volumetric","aperture, arm, base, bulb, clamp, column, cord, highlight, light source, sade, shade, tube",
"candle, taper, wax light",376,356,0,candle,,light source,
container,597,354,0,container,"fallen, work",wheel,
snow,2454,350,0,snow,,,
"doorframe, doorcase",778,348,0,door frame,,,
cup,677,346,0,"cup, paper cup","coffe, coffee, coffee cup, glass, paper, plastic, teacup, wine",handle,
"hood, exhaust hood",1260,346,0,extractor hood,,"body, button, buttons, filter, skirt, vent",
"bridge, span",294,335,0,bridge,"drawbridge, rope, ruins, stone","arch, column, fence, railing, road, sidewalk",
"blanket, cover",206,334,0,blanket,plaid blanket,,
"curb, curbing, kerb",682,333,0,curb,,,
"airplane, aeroplane, plane",14,332,0,"airplane, airplanes","light aircraft, model, partial, tail","cockpit, door, fuselage, landing gear, propeller, slat, stabilizer, turbine engine, wing, winglet",
"dishwasher, dish washer, dishwashing machine",747,329,0,dishwasher,,"button panel, buttons, door, foot, skirt",
"barrel, cask",131,324,0,barrel,small,"head, hoop, stave",
pool ball,1944,322,0,pool ball,,,
"bulletin board, notice board",318,316,0,bulletin board,,,
"land, ground, soil",1401,314,0,land,,,
post,1957,252,57,"light post, post",,"fence, fencing, house, railing, scaffolding, staging, streetlight, street lamp, traffic light, traffic signal, stoplight",
notebook,1662,306,0,"notebook, notebooks",,,
"grill, grille, grillwork",1139,305,0,grille,,,
"hedge, hedgerow",1226,303,0,hedge,bare,,
"pipe, pipage, piping",1884,292,0,"pipe, pipes",concrete,,
"bag, traveling bag, travelling bag, grip, suitcase",97,289,0,"suitcase, suitcases",open,"closure, handle",
central reservation,461,286,0,central reservation,,,
